Contsable has purchased Gold Points for $55.
Rs. has purchased Gold Points for $40.
Yahhe has purchased Gold Points for $9.
Tim has purchased Gold Points for $20.
Hometown P K has purchased Gold Points for $10.
Cash has purchased Gold Points for $30.
Cash has purchased Gold Points for $5.
Cash has purchased Gold Points for $18.
Copyright has purchased Gold Points for $100.
Imagine has purchased Gold Points for $5.
Boomkin has purchased Gold Points for $25.
Boomkin has purchased Gold Points for $24.
Cash has purchased Gold Points for $2.
Sam has purchased Gold Points for $10.
Coolest676 has purchased Gold Points for $10.
Blukrans has purchased Gold Points for $9.
Ryanboates has purchased Gold Points for $20.
Coolest676 has purchased Gold Points for $20.
Elite has purchased Gold Points for $40.
Wafflers has purchased Gold Points for $3.
Sam has purchased Gold Points for $30.
Ryanboates has purchased Gold Points for $30.
Ryanboates has purchased Gold Points for $35.
Fenn has purchased Gold Points for $40.
Phat has purchased Gold Points for $50.
Endlesskillz has purchased Gold Points for $50.
Phat has purchased Gold Points for $1.
Destiny has purchased Gold Points for $50.
Phat has purchased Gold Points for $27.
Endlesskillz has purchased Gold Points for $13.
Coolest676 has purchased Gold Points for $20.
Coolest676 has purchased Gold Points for $9.
Coolest676 has purchased Gold Points for $9.
Phat has purchased Gold Points for $7.
Endlesskillz has purchased Gold Points for $9.
Endlesskillz has purchased Gold Points for $13.
Endlesskillz has purchased Gold Points for $13.
Goodbye has purchased Gold Points for $7.
Wafflers has purchased Gold Points for $23.
Solesla has purchased Gold Points for $20.
Omg has purchased Gold Points for $15.
Beef has purchased Gold Points for $3.
Corey has purchased Gold Points for $5.
Corey has purchased Gold Points for $5.
Corey has purchased Gold Points for $10.
Coolest676 has purchased Gold Points for $9.
Sam has purchased Gold Points for $35.
Lowmeka has purchased Gold Points for $10.
[Aug 14, 2014 12:29:01 PM] Lowmeka has purchased Gold Points for $5.
[Aug 15, 2014 10:47:49 PM] Corey has purchased Gold Points for $3.
[Aug 16, 2014 7:20:34 PM] Beef has purchased Gold Points for $15.
[Aug 17, 2014 11:45:48 PM] Solesla has purchased Gold Points for $15.
[Aug 18, 2014 3:02:20 AM] Garrett has purchased Gold Points for $10.
[Aug 18, 2014 2:10:27 PM] Garrett has purchased Gold Points for $20.
[Aug 18, 2014 3:37:16 PM] Betaa has purchased Gold Points for $13.
[Aug 19, 2014 5:28:13 AM] 56gp has purchased Gold Points for $10.
[Aug 19, 2014 5:51:24 AM] 56gp has purchased Gold Points for $3.
[Aug 19, 2014 7:16:40 AM] Omg has purchased Gold Points for $35.
[Aug 20, 2014 1:28:06 AM] Pkingyou59 has purchased Gold Points for $10.
[Aug 20, 2014 1:32:07 AM] Senpai has purchased Gold Points for $10.
[Aug 20, 2014 1:56:32 AM] Pkingyou59 has purchased Gold Points for $2.
[Aug 20, 2014 2:47:30 AM] Classic has purchased Gold Points for $30.
[Aug 21, 2014 10:53:06 AM] Voldemort has purchased Gold Points for $30.
[Aug 21, 2014 10:12:18 PM] Boxbox has purchased Gold Points for $50.
[Aug 21, 2014 10:49:10 PM] Boxbox has purchased Gold Points for $50.
[Aug 22, 2014 1:04:39 AM] Refractt has purchased Gold Points for $15.
[Aug 22, 2014 5:52:33 AM] Voldemort has purchased Gold Points for $10.
[Aug 22, 2014 1:24:01 PM] Refractt has purchased Gold Points for $22.
[Aug 22, 2014 1:26:50 PM] Refractt has purchased Gold Points for $4.
[Aug 22, 2014 9:50:53 PM] Reidsy has purchased Gold Points for $15.
[Aug 23, 2014 5:46:17 PM] Pkingyou59 has purchased Gold Points for $1.
[Aug 23, 2014 5:48:47 PM] Pkingyou59 has purchased Gold Points for $22.
[Aug 23, 2014 11:47:12 PM] Magix has purchased Gold Points for $3.
[Aug 24, 2014 12:54:07 AM] Hank has purchased Gold Points for $10.
[Aug 24, 2014 12:56:20 AM] Magix has purchased Gold Points for $7.
[Aug 24, 2014 1:09:38 AM] Hank has purchased Gold Points for $25.
[Aug 24, 2014 1:13:33 AM] Hank has purchased Gold Points for $10.
[Aug 24, 2014 2:09:39 AM] Hank has purchased Gold Points for $3.
[Aug 24, 2014 2:16:59 AM] Narwhal has purchased Gold Points for $30.
[Aug 24, 2014 2:41:39 AM] Narwhal has purchased Gold Points for $10.
[Aug 24, 2014 2:47:48 AM] Narwhal has purchased Gold Points for $7.
[Aug 24, 2014 11:58:15 AM] Hank has purchased Gold Points for $4.
[Aug 24, 2014 2:04:05 PM] Apathetic has purchased Gold Points for $10.
[Aug 24, 2014 3:28:22 PM] Abuse has purchased Gold Points for $20.
[Aug 24, 2014 4:05:28 PM] Blazer1331 has purchased Gold Points for $10.
[Aug 24, 2014 4:13:43 PM] Blazer1331 has purchased Gold Points for $4.
[Aug 24, 2014 4:54:45 PM] Dmax has purchased Gold Points for $12.
[Aug 24, 2014 6:25:09 PM] Magix has purchased Gold Points for $5.
[Aug 24, 2014 7:39:54 PM] Narwhal has purchased Gold Points for $3.
[Aug 24, 2014 8:58:45 PM] Pokabu has purchased Gold Points for $10.
[Aug 24, 2014 9:01:20 PM] Shadow22 has purchased Gold Points for $10.
[Aug 24, 2014 10:36:42 PM] Madness has purchased Gold Points for $16.
[Aug 24, 2014 10:55:43 PM] Omg has purchased Gold Points for $20.
[Aug 24, 2014 11:18:02 PM] Boxbox has purchased Gold Points for $30.
[Aug 25, 2014 2:24:31 AM] Godhellion has purchased Gold Points for $20.
[Aug 25, 2014 2:50:06 AM] Godhellion has purchased Gold Points for $10.
[Aug 25, 2014 3:47:51 AM] Griffin has purchased Gold Points for $13.
